Rango_Altitud,Rango_Precipitación,Subzona_Hidrografica,Estación,Vecinas
6,6,Río Gualí,23010020,[]
9,3,Río Gualí,23010080,[]
10,3,Río Gualí,26155150,[]
3,8,Río Guarinó,23020100,[23025040]
3,8,Río Guarinó,23025040,[23020100]
4,10,Río Guarinó,23040070,[]
7,7,Río Guarinó,23020080,[]
10,4,Río Guarinó,23020090,[]
1,7,Río La Miel (Samaná),23050230,[]
3,10,Río La Miel (Samaná),23050250,[]
6,6,Río La Miel (Samaná),23050100,[]
6,7,Río La Miel (Samaná),23050080,[]
6,10,Río La Miel (Samaná),23055040,[]
6,10,Río La Miel (Samaná),23055070,[]
1,4,Río Negro,23065120,[]
2,3,Río Negro,23060190,[]
4,4,Río Negro,23060140,[]
4,5,Río Negro,23060160,[]
5,4,Río Negro,23060110,[]
5,4,Río Negro,23060260,[]
5,5,Río Negro,23060170,[]
5,5,Río Negro,23060290,[]
5,6,Río Negro,23060180,[]
6,4,Río Negro,23060200,[]
7,5,Río Negro,23060150,[]
2,8,Directos Magdalena Medio entre ríos La Miel y Nare,23070020,[]
10,6,Directos Magdalena Medio entre ríos La Miel y Nare,23070010,[]
3,5,Río Nare,23085080,[]
3,7,Río Nare,23080810,[]
4,10,Río Nare,23085220,[]
5,8,Río Nare,23080760,[23080940]
5,8,Río Nare,23080940,[23080760]
5,10,Río Nare,23080750,[23085140]
5,10,Río Nare,23085140,[23080750]
6,6,Río Nare,23080720,[]
6,10,Río Nare,23085030,[]
7,4,Río Nare,23080640,[]
7,6,Río Nare,23085110,[23085160]
7,6,Río Nare,23085160,[23085110]
7,7,Río Nare,23080740,[]
7,8,Río Nare,23080390,[]
7,10,Río Nare,23080820,[]
8,5,Río Nare,23085270,[]
8,6,Río Nare,23080650,[23080920]
8,6,Río Nare,23080920,[23080650]
1,6,Rió San Bartolo y otros directos al Magdalena Medio,23100050,[23100070]
1,6,Rió San Bartolo y otros directos al Magdalena Medio,23100070,[23100050]
1,7,Rió San Bartolo y otros directos al Magdalena Medio,23090110,[]
3,6,Rió San Bartolo y otros directos al Magdalena Medio,23090020,[]
4,5,Rió San Bartolo y otros directos al Magdalena Medio,23105030,[]
4,6,Rió San Bartolo y otros directos al Magdalena Medio,23100030,[]
5,7,Rió San Bartolo y otros directos al Magdalena Medio,23100040,[]
1,5,Directos al Magdalena Medio entre ríos Negro ,23110030,[]
1,6,Directos al Magdalena Medio entre ríos Negro ,23110040,[]
1,6,Directos al Magdalena Medio entre ríos Negro ,23110060,[]
1,5,Río Carare (Minero),23120240,[]
1,6,Río Carare (Minero),23120200,[23125050]
1,6,Río Carare (Minero),23125050,[23120200]
1,7,Río Carare (Minero),23125120,[]
1,8,Río Carare (Minero),23120010,[]
3,5,Río Carare (Minero),23120250,[]
3,6,Río Carare (Minero),23120050,[]
4,7,Río Carare (Minero),23120210,[23125080]
