Fecha,Mes,Año,Precipitación_imputada,Precipitación_original,xlin,xint,RESIDUALS,Incrementos_Anuales
2000-01-01,January,2000,40.0,40.0,233.0129282124482,253.3843722476554,-213.3843722476554,
2000-02-01,February,2000,164.0,164.0,233.15238732852904,233.60279838369425,-69.60279838369422,
2000-03-01,March,2000,112.0,112.0,233.29184644460983,246.35375621741915,-134.35375621741915,
2000-04-01,April,2000,326.0,326.0,233.4313055606907,258.2014164161138,67.79858358388623,
2000-05-01,May,2000,359.0,359.0,233.57076467677152,257.057964756368,101.942035243632,
2000-06-01,June,2000,225.5,225.5,233.7102237928524,242.02412797646707,-16.52412797646707,
2000-07-01,July,2000,187.0,187.0,233.8496829089332,252.4027933428076,-65.4027933428076,
2000-08-01,August,2000,115.0,115.0,233.989142025014,247.15454237469515,-132.15454237469515,
2000-09-01,September,2000,273.0,273.0,234.1286011410949,245.4603132519406,27.53968674805941,
2000-10-01,October,2000,396.0,396.0,234.26806025717568,249.62713460170212,146.37286539829785,
2000-11-01,November,2000,89.0,89.0,234.4075193732565,283.8239718804034,-194.8239718804034,
2000-12-01,December,2000,150.0,150.0,234.5469784893373,256.6791437500666,-106.6791437500666,
2001-01-01,January,2001,70.0,70.0,234.68643760541815,182.88869739049025,-112.88869739049022,30.0
2001-02-01,February,2001,0.0,0.0,234.825896721499,224.63004087787823,-224.63004087787823,-164.0
2001-03-01,March,2001,250.0,250.0,234.96535583757984,234.2646564053171,15.735343594682888,138.0
2001-04-01,April,2001,160.0,160.0,235.10481495366065,250.2171622479341,-90.21716224793414,-166.0
2001-05-01,May,2001,519.0,519.0,235.2442740697415,251.1576607173215,267.8423392826785,160.0
2001-06-01,June,2001,110.0,110.0,235.38373318582236,264.8405444183566,-154.8405444183566,-115.5
2001-07-01,July,2001,70.5,70.5,235.52319230190315,226.51701360907293,-156.01701360907293,-116.5
2001-08-01,August,2001,220.0,220.0,235.662651417984,236.18561396710044,-16.185613967100437,105.0
2001-09-01,September,2001,229.0,229.0,235.8021105340648,235.23639739611465,-6.236397396114654,-44.0
2001-10-01,October,2001,538.0,538.0,235.94156965014565,373.8204193244194,164.1795806755806,142.0
2001-11-01,November,2001,257.0,257.0,236.08102876622647,316.4664394418223,-59.466439441822274,168.0
2001-12-01,December,2001,90.0,90.0,236.2204878823073,205.8954856226745,-115.8954856226745,-60.0
2002-01-01,January,2002,10.0,10.0,236.35994699838812,175.956892443152,-165.956892443152,-60.0
2002-02-01,February,2002,38.0,38.0,236.49940611446897,154.8621434599221,-116.8621434599221,38.0
2002-03-01,March,2002,58.0,58.0,236.6388652305498,237.67010689514493,-179.67010689514495,-192.0
2002-04-01,April,2002,220.0,220.0,236.77832434663063,347.89918825750937,-127.89918825750937,60.0
2002-05-01,May,2002,244.0,244.0,236.91778346271147,261.5596654210946,-17.55966542109462,-275.0
2002-06-01,June,2002,57.0,57.0,237.05724257879228,237.90619739695413,-180.90619739695413,-53.0
2002-07-01,July,2002,245.0,245.0,237.19670169487316,244.45453596185592,0.5454640381440754,174.5
2002-08-01,August,2002,205.0,205.0,237.336160810954,207.3918463738337,-2.3918463738337152,-15.0
2002-09-01,September,2002,176.0,176.0,237.4756199270348,323.74329006264884,-147.74329006264884,-53.0
2002-10-01,October,2002,450.0,450.0,237.61507904311563,446.16413628754617,3.835863712453829,-88.0
2002-11-01,November,2002,317.0,317.0,237.75453815919644,267.24220713782887,49.75779286217113,60.0
2002-12-01,December,2002,35.0,35.0,237.8939972752773,177.89285828174718,-142.89285828174718,-55.0
2003-01-01,January,2003,20.0,20.0,238.0334563913581,184.6039313334991,-164.6039313334991,10.0
2003-02-01,February,2003,50.0,50.0,238.17291550743892,140.97815306698325,-90.97815306698324,12.0
2003-03-01,March,2003,310.0,310.0,238.31237462351976,251.9394643059252,58.06053569407479,252.0
2003-04-01,April,2003,195.0,195.0,238.4518337396006,381.00185571732345,-186.00185571732345,-25.0
2003-05-01,May,2003,344.0,344.0,238.59129285568144,297.61161300894497,46.38838699105503,100.0
2003-06-01,June,2003,292.0,292.0,238.73075197176223,203.22063783236936,88.77936216763064,235.0
2003-07-01,July,2003,366.0,366.0,238.8702110878431,276.5358685022027,89.46413149779733,121.0
2003-08-01,August,2003,189.0,189.0,239.00967020392392,242.17762037355504,-53.17762037355504,-16.0
2003-09-01,September,2003,195.0,195.0,239.1491293200048,370.522864770598,-175.52286477059795,19.0
2003-10-01,October,2003,794.0,794.0,239.2885884360856,350.95383533044577,443.04616466955423,344.0
2003-11-01,November,2003,380.0,380.0,239.4280475521664,224.57919210192796,155.42080789807207,63.0
2003-12-01,December,2003,87.0,87.0,239.5675066682473,229.46907543038367,-142.46907543038367,52.0
