Rango,min,max,count,Índice de Moran
0,0.028974666328500594,29.959798830949016,426,0.9249847577315478
1,29.972139895680332,48.64744232424846,426,0.30003228813543326
2,48.65591724920135,62.558914847181235,426,0.15250257630393163
3,62.579722448660405,75.56280719862094,425,0.12166237612846166
4,75.59506369023012,87.7631035452338,426,0.10884974222896573
5,87.8567692466913,100.77755272297723,426,0.048912797082325016
6,100.83183063366681,114.17710387824113,425,0.026070612391887633
7,114.18467959237114,126.77302417044555,426,0.13193282694236805
8,126.8043205428892,139.6349207840823,426,0.12486220965668501
9,139.70685437848013,153.7087228598139,426,0.056424918748311244
10,153.81412224050004,168.92259242694095,425,0.01741104893325615
11,168.92466069104432,185.4423288295435,426,0.006083592002540143
12,185.45923369474684,204.0000135756588,426,-0.024115342842322487
13,204.03830683515287,223.5994591209904,425,-0.15459239665357408
14,223.60173867831594,239.45653703624856,426,-0.28154892655015
15,239.45684567780447,256.3013289829272,426,-0.3857032858619066
16,256.30423535442134,274.2796829014141,425,-0.3757670676023828
17,274.30877998880356,293.4643698744436,426,-0.393344950538849
18,293.4999874003784,323.942836650803,426,-0.30729441042316147
19,323.97894827385267,450.8218929371617,426,-0.1014996367042857
