Fecha,Mes,Año,23010020
2000-01-01,January,2000,141.0
2000-02-01,February,2000,318.0
2000-03-01,March,2000,325.0
2000-04-01,April,2000,256.0
2000-05-01,May,2000,328.0
2000-06-01,June,2000,181.0
2000-07-01,July,2000,160.0
2000-08-01,August,2000,148.0
2000-09-01,September,2000,416.0
2000-10-01,October,2000,262.0
2000-11-01,November,2000,380.0
2000-12-01,December,2000,184.0
2001-01-01,January,2001,175.0
2001-02-01,February,2001,153.0
2001-03-01,March,2001,267.0
2001-04-01,April,2001,288.0
2001-05-01,May,2001,251.0
2001-06-01,June,2001,87.0
2001-07-01,July,2001,170.0
2001-08-01,August,2001,37.0
2001-09-01,September,2001,286.3
2001-10-01,October,2001,296.0
2001-11-01,November,2001,319.0
2001-12-01,December,2001,148.2
2002-01-01,January,2002,137.2
2002-02-01,February,2002,117.0
2002-03-01,March,2002,130.0
2002-04-01,April,2002,302.0
2002-05-01,May,2002,242.0
2002-06-01,June,2002,119.0
2002-07-01,July,2002,80.0
2002-08-01,August,2002,92.0
2002-09-01,September,2002,182.0
2002-10-01,October,2002,323.0
2002-11-01,November,2002,138.0
2002-12-01,December,2002,189.0
2003-01-01,January,2003,144.0
2003-02-01,February,2003,144.0
2003-03-01,March,2003,296.0
2003-04-01,April,2003,305.0
2003-05-01,May,2003,181.0
2003-06-01,June,2003,184.0
2003-07-01,July,2003,54.0
2003-08-01,August,2003,65.0
2003-09-01,September,2003,345.0
2003-10-01,October,2003,339.0
2003-11-01,November,2003,305.0
2003-12-01,December,2003,228.0
2004-01-01,January,2004,205.0
2004-02-01,February,2004,197.2
2004-03-01,March,2004,187.0
2004-04-01,April,2004,339.0
2004-05-01,May,2004,314.0
2004-06-01,June,2004,52.0
2004-07-01,July,2004,106.0
2004-08-01,August,2004,47.0
2004-09-01,September,2004,278.0
2004-10-01,October,2004,375.0
2004-11-01,November,2004,446.0
2004-12-01,December,2004,145.0
2005-01-01,January,2005,239.0
2005-02-01,February,2005,283.0
2005-03-01,March,2005,339.0
2005-04-01,April,2005,129.0
2005-05-01,May,2005,485.0
2005-06-01,June,2005,52.0
2005-07-01,July,2005,40.0
2005-08-01,August,2005,121.0
2005-09-01,September,2005,267.0
2005-10-01,October,2005,449.0
2005-11-01,November,2005,415.0
2005-12-01,December,2005,473.0
2006-01-01,January,2006,224.0
2006-02-01,February,2006,236.0
2006-03-01,March,2006,441.0
2006-04-01,April,2006,403.0
2006-05-01,May,2006,311.0
2006-06-01,June,2006,269.0
2006-07-01,July,2006,46.0
2006-08-01,August,2006,112.0
2006-09-01,September,2006,276.0
2006-10-01,October,2006,377.0
2006-11-01,November,2006,268.0
2006-12-01,December,2006,322.0
2007-01-01,January,2007,215.0
2007-02-01,February,2007,1.0
2007-03-01,March,2007,329.0
2007-04-01,April,2007,471.0
2007-05-01,May,2007,404.0
2007-06-01,June,2007,21.0
2007-07-01,July,2007,200.0
2007-08-01,August,2007,258.0
2007-09-01,September,2007,308.0
2007-10-01,October,2007,433.0
2007-11-01,November,2007,476.0
2007-12-01,December,2007,344.0
2008-01-01,January,2008,142.0
2008-02-01,February,2008,319.0
2008-03-01,March,2008,464.0
2008-04-01,April,2008,385.0
2008-05-01,May,2008,449.0
2008-06-01,June,2008,176.0
2008-07-01,July,2008,148.0
2008-08-01,August,2008,424.0
2008-09-01,September,2008,170.0
2008-10-01,October,2008,289.0
2008-11-01,November,2008,341.0
2008-12-01,December,2008,188.3
2009-01-01,January,2009,224.0
2009-02-01,February,2009,186.0
2009-03-01,March,2009,
2009-04-01,April,2009,187.0
2009-05-01,May,2009,285.0
2009-06-01,June,2009,136.0
2009-07-01,July,2009,50.0
2009-08-01,August,2009,172.0
2009-09-01,September,2009,132.0
2009-10-01,October,2009,190.0
2009-11-01,November,2009,228.0
2009-12-01,December,2009,34.0
2010-01-01,January,2010,62.0
2010-02-01,February,2010,293.0
2010-03-01,March,2010,277.0
2010-04-01,April,2010,332.0
2010-05-01,May,2010,294.0
2010-06-01,June,2010,238.0
2010-07-01,July,2010,345.0
2010-08-01,August,2010,148.0
2010-09-01,September,2010,348.0
2010-10-01,October,2010,343.0
2010-11-01,November,2010,305.0
2010-12-01,December,2010,292.0
2011-01-01,January,2011,308.0
2011-02-01,February,2011,231.0
2011-03-01,March,2011,225.0
2011-04-01,April,2011,361.0
2011-05-01,May,2011,310.0
2011-06-01,June,2011,124.0
2011-07-01,July,2011,220.0
2011-08-01,August,2011,250.0
2011-09-01,September,2011,250.0
2011-10-01,October,2011,341.0
2011-11-01,November,2011,372.0
2011-12-01,December,2011,362.0
2012-01-01,January,2012,276.0
2012-02-01,February,2012,152.0
2012-03-01,March,2012,48.0
2012-04-01,April,2012,156.0
2012-05-01,May,2012,274.0
2012-06-01,June,2012,61.0
2012-07-01,July,2012,133.0
2012-08-01,August,2012,140.0
2012-09-01,September,2012,113.0
2012-10-01,October,2012,188.0
2012-11-01,November,2012,219.0
2012-12-01,December,2012,114.0
2013-01-01,January,2013,12.5
2013-02-01,February,2013,29.2
2013-03-01,March,2013,33.6
2013-04-01,April,2013,15.9
2013-05-01,May,2013,23.6
2013-06-01,June,2013,72.0
2013-07-01,July,2013,18.0
2013-08-01,August,2013,72.0
2013-09-01,September,2013,65.0
2013-10-01,October,2013,62.0
2013-11-01,November,2013,182.0
2013-12-01,December,2013,251.0
2014-01-01,January,2014,185.0
2014-02-01,February,2014,127.0
2014-03-01,March,2014,107.0
2014-04-01,April,2014,247.0
2014-05-01,May,2014,233.0
2014-06-01,June,2014,52.0
2014-07-01,July,2014,4.0
2014-08-01,August,2014,4.0
2014-09-01,September,2014,147.0
2014-10-01,October,2014,149.0
2014-11-01,November,2014,263.0
2014-12-01,December,2014,104.0
2015-01-01,January,2015,74.0
2015-02-01,February,2015,
2015-03-01,March,2015,422.0
2015-04-01,April,2015,383.0
2015-05-01,May,2015,59.0
2015-06-01,June,2015,177.0
2015-07-01,July,2015,0.0
2015-08-01,August,2015,17.0
2015-09-01,September,2015,8.0
2015-10-01,October,2015,7.0
2015-11-01,November,2015,
2015-12-01,December,2015,
2016-01-01,January,2016,
2016-02-01,February,2016,
2016-03-01,March,2016,
2016-04-01,April,2016,
2016-05-01,May,2016,
2016-06-01,June,2016,
2016-07-01,July,2016,
2016-08-01,August,2016,
2016-09-01,September,2016,
2016-10-01,October,2016,
2016-11-01,November,2016,
2016-12-01,December,2016,323.0
2017-01-01,January,2017,170.0
2017-02-01,February,2017,140.9
2017-03-01,March,2017,477.7
2017-04-01,April,2017,315.1
2017-05-01,May,2017,375.1
2017-06-01,June,2017,222.8
2017-07-01,July,2017,16.5
2017-08-01,August,2017,305.3
2017-09-01,September,2017,203.4
2017-10-01,October,2017,
2017-11-01,November,2017,
2017-12-01,December,2017,
2018-01-01,January,2018,323.3
2018-02-01,February,2018,486.9
2018-03-01,March,2018,484.0
2018-04-01,April,2018,368.7
2018-05-01,May,2018,601.5
2018-06-01,June,2018,62.8
2018-07-01,July,2018,159.7
2018-08-01,August,2018,179.3
2018-09-01,September,2018,346.4
2018-10-01,October,2018,407.1
2018-11-01,November,2018,278.3
2018-12-01,December,2018,132.9
2019-01-01,January,2019,135.0
2019-02-01,February,2019,450.0
2019-03-01,March,2019,395.9
2019-04-01,April,2019,267.4
2019-05-01,May,2019,248.4
2019-06-01,June,2019,53.5
2019-07-01,July,2019,139.2
2019-08-01,August,2019,25.3
2019-09-01,September,2019,381.3
2019-10-01,October,2019,238.1
2019-11-01,November,2019,310.3
2019-12-01,December,2019,153.8
