Estación,Fecha,Mes,Año,Precipitación_imputada,Precipitación_ajustada,Vecina,factor_ajuste
23085110,2000-01,Enero,2000,87.4,87.4,,1.0
23085110,2000-02,Febrero,2000,156.7,156.7,,1.0
23085110,2000-03,Marzo,2000,255.5,255.5,,1.0
23085110,2000-04,Abril,2000,243.3,243.3,23085160,1.0
23085110,2000-05,Mayo,2000,325.5,325.5,23085160,1.0
23085110,2000-06,Junio,2000,323.6,323.6,,1.0
23085110,2000-07,Julio,2000,327.4,327.4,23085160,1.0
23085110,2000-08,Agosto,2000,311.3,311.3,23085160,1.0
23085110,2000-09,Septiembre,2000,379.9,379.9,,1.0
23085110,2000-10,Octubre,2000,347.4,347.4,,1.0
23085110,2000-11,Noviembre,2000,160.6,160.6,,1.0
23085110,2000-12,Diciembre,2000,103.6,inf,23085160,inf
23085110,2001-01,Enero,2001,143.6,143.6,,1.0
23085110,2001-02,Febrero,2001,86.4,86.4,,1.0
23085110,2001-03,Marzo,2001,147.2,147.2,,1.0
23085110,2001-04,Abril,2001,105.7,105.7,23085160,1.0
23085110,2001-05,Mayo,2001,300.3,300.3,23085160,1.0
23085110,2001-06,Junio,2001,189.6,189.6,,1.0
23085110,2001-07,Julio,2001,293.8,293.8,23085160,1.0
23085110,2001-08,Agosto,2001,65.4,65.4,23085160,1.0
23085110,2001-09,Septiembre,2001,290.3,290.3,,1.0
23085110,2001-10,Octubre,2001,307.2,307.2,,1.0
23085110,2001-11,Noviembre,2001,206.1,206.1,,1.0
23085110,2001-12,Diciembre,2001,322.6,322.6,23085160,1.0
23085110,2002-01,Enero,2002,96.6,96.6,,1.0
23085110,2002-02,Febrero,2002,176.4,176.4,,1.0
23085110,2002-03,Marzo,2002,193.6,193.6,,1.0
23085110,2002-04,Abril,2002,367.8,367.8,23085160,1.0
23085110,2002-05,Mayo,2002,354.5,354.5,23085160,1.0
23085110,2002-06,Junio,2002,152.3,152.3,,1.0
23085110,2002-07,Julio,2002,191.4,191.4,23085160,1.0
23085110,2002-08,Agosto,2002,141.1,141.1,23085160,1.0
23085110,2002-09,Septiembre,2002,189.9,189.9,,1.0
23085110,2002-10,Octubre,2002,230.9,230.9,,1.0
23085110,2002-11,Noviembre,2002,193.1,193.1,,1.0
23085110,2002-12,Diciembre,2002,104.0,104.0,23085160,1.0
23085110,2003-01,Enero,2003,10.0,10.0,,1.0
23085110,2003-02,Febrero,2003,125.2,125.2,,1.0
23085110,2003-03,Marzo,2003,235.7,235.7,,1.0
23085110,2003-04,Abril,2003,289.6,289.6,23085160,1.0
23085110,2003-05,Mayo,2003,243.80775264408229,243.80775264408229,23085160,1.0
23085110,2003-06,Junio,2003,201.55246162411365,201.55246162411365,,1.0
23085110,2003-07,Julio,2003,181.2647607916201,181.2647607916201,23085160,1.0
23085110,2003-08,Agosto,2003,215.4,215.4,23085160,1.0
23085110,2003-09,Septiembre,2003,334.8,334.8,,1.0
23085110,2003-10,Octubre,2003,304.6,304.6,,1.0
23085110,2003-11,Noviembre,2003,208.1,208.1,,1.0
23085110,2003-12,Diciembre,2003,170.8,170.8,23085160,1.0
23085110,2004-01,Enero,2004,187.2,187.2,,1.0
23085110,2004-02,Febrero,2004,174.8,174.8,,1.0
23085110,2004-03,Marzo,2004,161.9,161.9,,1.0
23085110,2004-04,Abril,2004,464.4,464.4,23085160,1.0
23085110,2004-05,Mayo,2004,281.8,281.8,23085160,1.0
23085110,2004-06,Junio,2004,188.58946116616448,188.58946116616448,,1.0
23085110,2004-07,Julio,2004,276.3,276.3,23085160,1.0
23085110,2004-08,Agosto,2004,132.5,132.5,23085160,1.0
23085110,2004-09,Septiembre,2004,257.3,257.3,,1.0
23085110,2004-10,Octubre,2004,235.8,235.8,,1.0
23085110,2004-11,Noviembre,2004,222.6,222.6,,1.0
23085110,2004-12,Diciembre,2004,126.2,126.2,23085160,1.0
23085110,2005-01,Enero,2005,104.6,104.6,,1.0
23085110,2005-02,Febrero,2005,94.4,94.4,,1.0
23085110,2005-03,Marzo,2005,229.6,229.6,,1.0
23085110,2005-04,Abril,2005,332.4,332.4,23085160,1.0
23085110,2005-05,Mayo,2005,429.3,429.3,23085160,1.0
23085110,2005-06,Junio,2005,302.1,302.1,,1.0
23085110,2005-07,Julio,2005,168.5,168.5,23085160,1.0
23085110,2005-08,Agosto,2005,176.6,176.6,23085160,1.0
23085110,2005-09,Septiembre,2005,261.2,261.2,,1.0
23085110,2005-10,Octubre,2005,341.9,341.9,,1.0
23085110,2005-11,Noviembre,2005,79.8,79.8,,1.0
23085110,2005-12,Diciembre,2005,62.9,62.9,23085160,1.0
23085110,2006-01,Enero,2006,191.44116216328905,191.44116216328905,,1.0
